"Asset","Venue","Pair","FundingRatePct","IntervalHours","AnnualizedPct","FundingUsdPerInterval","FundingUsdPerDay","EstimatedEntryExitFeesUsd","IntervalsToCoverFees","SimpleReceiveSide","NextFundingTime","Decision"
"ARB","OKX Swap","ARB-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ARB","Bybit Linear","ARBUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"UNI","OKX Swap","UNI-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"UNI","Binance Futures","UNIUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"SUI","Bybit Linear","SUIUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"UNI","Bybit Linear","UNIUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"FIL","OKX Swap","FIL-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"FIL","Bybit Linear","FILUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"FIL","Binance Futures","FILUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"OP","OKX Swap","OP-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"OP","Bybit Linear","OPUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"OP","Binance Futures","OPUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"LTC","Binance Futures","LTCUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ADA","Bybit Linear","ADAUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ADA","Binance Futures","ADAUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"GRT","OKX Swap","GRT-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"ADA","OKX Swap","ADA-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"LDO","OKX Swap","LDO-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"JUP","Bybit Linear","JUPUSDT","0.00500","4","10.95","0.00500","0.03000","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"SUI","OKX Swap","SUI-USDT-SWAP","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"LDO","Bybit Linear","LDOUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"DOGE","Binance Futures","DOGEUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"LINK","Binance Futures","LINKUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"GRT","Binance Futures","GRTUSDT","0.010000","8","10.95","0.01000","0.03000","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"GRT","Bybit Linear","GRTUSDT","0.0100","8","10.95","0.0100","0.0300","0.400","40","Short perp receives","1783036800000","WATCH TOO SMALL"
"LINK","Bybit Linear","LINKUSDT","0.008985","8","9.84","0.00898","0.02696","0.400","45","Short perp receives","1783036800000","WATCH TOO SMALL"
"SOL","OKX Swap","SOL-USDT-SWAP","0.008597","8","9.41","0.00860","0.02579","0.400","47","Short perp receives","1783036800000","WATCH TOO SMALL"
"SHIB","OKX Swap","SHIB-USDT-SWAP","0.008478","8","9.28","0.00848","0.02543","0.400","48","Short perp receives","1783036800000","WATCH TOO SMALL"
"RUNE","Bybit Linear","RUNEUSDT","0.008260","8","9.04","0.00826","0.02478","0.400","49","Short perp receives","1783036800000","WATCH TOO SMALL"
"LINK","OKX Swap","LINK-USDT-SWAP","0.007970","8","8.73","0.00797","0.02391","0.400","51","Short perp receives","1783036800000","WATCH TOO SMALL"
"ETH","Binance Futures","ETHUSDT","0.007703","8","8.43","0.00770","0.02311","0.400","52","Short perp receives","1783036800000","WATCH TOO SMALL"
"NEAR","Binance Futures","NEARUSDT","0.007647","8","8.37","0.00765","0.02294","0.400","53","Short perp receives","1783036800000","WATCH TOO SMALL"
"LDO","Binance Futures","LDOUSDT","0.006807","8","7.45","0.00681","0.02042","0.400","59","Short perp receives","1783036800000","WATCH TOO SMALL"
"BNB","Bybit Linear","BNBUSDT","0.006648","8","7.28","0.00665","0.01994","0.400","61","Short perp receives","1783036800000","WATCH TOO SMALL"
"APT","Bybit Linear","APTUSDT","0.006530","8","7.15","0.00653","0.01959","0.400","62","Short perp receives","1783036800000","WATCH TOO SMALL"
"LTC","OKX Swap","LTC-USDT-SWAP","0.006482","8","7.10","0.00648","0.01945","0.400","62","Short perp receives","1783036800000","WATCH TOO SMALL"
"PEPE","OKX Swap","PEPE-USDT-SWAP","0.006143","8","6.73","0.00614","0.01843","0.400","66","Short perp receives","1783036800000","WATCH TOO SMALL"
"ETC","Bybit Linear","ETCUSDT","0.005955","8","6.52","0.00596","0.01786","0.400","68","Short perp receives","1783036800000","WATCH TOO SMALL"
"ETH","OKX Swap","ETH-USDT-SWAP","0.005895","8","6.45","0.00589","0.01768","0.400","68","Short perp receives","1783036800000","WATCH TOO SMALL"
"XRP","Binance Futures","XRPUSDT","0.005772","8","6.32","0.00577","0.01732","0.400","70","Short perp receives","1783036800000","WATCH TOO SMALL"
"DOGE","OKX Swap","DOGE-USDT-SWAP","0.005724","8","6.27","0.00572","0.01717","0.400","70","Short perp receives","1783036800000","WATCH TOO SMALL"
"WLD","OKX Swap","WLD-USDT-SWAP","0.005678","8","6.22","0.00568","0.01704","0.400","71","Short perp receives","1783036800000","WATCH TOO SMALL"
"BCH","Binance Futures","BCHUSDT","0.005585","8","6.12","0.00558","0.01676","0.400","72","Short perp receives","1783036800000","WATCH TOO SMALL"
"XRP","OKX Swap","XRP-USDT-SWAP","0.005293","8","5.80","0.00529","0.01588","0.400","76","Short perp receives","1783036800000","WATCH TOO SMALL"
"RENDER","OKX Swap","RENDER-USDT-SWAP","0.005000","8","5.48","0.00500","0.01500","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"RENDER","Binance Futures","RENDERUSDT","0.005000","8","5.48","0.00500","0.01500","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"SEI","OKX Swap","SEI-USDT-SWAP","0.005000","8","5.48","0.00500","0.01500","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"JUP","Binance Futures","JUPUSDT","0.005000","8","5.48","0.00500","0.01500","0.400","80","Short perp receives","1783022400000","WATCH TOO SMALL"
"BTC","Binance Futures","BTCUSDT","0.004739","8","5.19","0.00474","0.01422","0.400","85","Short perp receives","1783036800000","WATCH TOO SMALL"
"BCH","OKX Swap","BCH-USDT-SWAP","0.004714","8","5.16","0.00471","0.01414","0.400","85","Short perp receives","1783036800000","WATCH TOO SMALL"
"TIA","OKX Swap","TIA-USDT-SWAP","0.004613","8","5.05","0.00461","0.01384","0.400","87","Short perp receives","1783022400000","WATCH TOO SMALL"
"BTC","Bybit Linear","BTCUSDT","0.004472","8","4.90","0.00447","0.01342","0.400","90","Short perp receives","1783036800000","WATCH TOO SMALL"
"HBAR","Binance Futures","HBARUSDT","0.004313","8","4.72","0.00431","0.01294","0.400","93","Short perp receives","1783036800000","WATCH TOO SMALL"
"SUI","Binance Futures","SUIUSDT","0.004293","8","4.70","0.00429","0.01288","0.400","94","Short perp receives","1783036800000","WATCH TOO SMALL"
"TIA","Binance Futures","TIAUSDT","0.004194","8","4.59","0.00419","0.01258","0.400","96","Short perp receives","1783022400000","WATCH TOO SMALL"
"JUP","OKX Swap","JUP-USDT-SWAP","0.004032","8","4.42","0.00403","0.01210","0.400","100","Short perp receives","1783022400000","WATCH TOO SMALL"
"BCH","Bybit Linear","BCHUSDT","0.003891","8","4.26","0.00389","0.01167","0.400","103","Short perp receives","1783036800000","WATCH TOO SMALL"
"BTC","OKX Swap","BTC-USDT-SWAP","0.003624","8","3.97","0.00362","0.01087","0.400","111","Short perp receives","1783036800000","WATCH TOO SMALL"
"BNB","OKX Swap","BNB-USDT-SWAP","0.003602","8","3.94","0.00360","0.01080","0.400","112","Short perp receives","1783036800000","WATCH TOO SMALL"
"HBAR","OKX Swap","HBAR-USDT-SWAP","0.003340","8","3.66","0.00334","0.01002","0.400","120","Short perp receives","1783036800000","WATCH TOO SMALL"
"DOT","Binance Futures","DOTUSDT","0.002531","8","2.77","0.00253","0.00759","0.400","159","Short perp receives","1783036800000","WATCH TOO SMALL"
"DOGE","Bybit Linear","DOGEUSDT","0.002135","8","2.34","0.00214","0.00640","0.400","188","Short perp receives","1783036800000","WATCH TOO SMALL"
"ETH","Bybit Linear","ETHUSDT","0.001967","8","2.15","0.00197","0.00590","0.400","204","Short perp receives","1783036800000","WATCH TOO SMALL"
"HBAR","Bybit Linear","HBARUSDT","0.001934","8","2.12","0.00193","0.00580","0.400","207","Short perp receives","1783036800000","WATCH TOO SMALL"
"RUNE","Binance Futures","RUNEUSDT","0.001678","8","1.84","0.00168","0.00503","0.400","239","Short perp receives","1783036800000","WATCH TOO SMALL"
"ENS","Bybit Linear","ENSUSDT","0.001387","8","1.52","0.00139","0.00416","0.400","289","Short perp receives","1783036800000","WATCH TOO SMALL"
"SOL","Binance Futures","SOLUSDT","0.001243","8","1.36","0.00124","0.00373","0.400","322","Short perp receives","1783036800000","WATCH TOO SMALL"
"ETC","Binance Futures","ETCUSDT","0.001230","8","1.35","0.00123","0.00369","0.400","326","Short perp receives","1783036800000","WATCH TOO SMALL"
"AAVE","Bybit Linear","AAVEUSDT","0.001117","8","1.22","0.00112","0.00335","0.400","359","Short perp receives","1783036800000","WATCH TOO SMALL"
"VET","Bybit Linear","VETUSDT","0.001064","8","1.17","0.00106","0.00319","0.400","376","Short perp receives","1783036800000","WATCH TOO SMALL"
"SOL","Bybit Linear","SOLUSDT","0.000734","8","0.80","0.00073","0.00220","0.400","545","Short perp receives","1783036800000","WATCH TOO SMALL"
"ARB","Binance Futures","ARBUSDT","0.000242","8","0.26","0.00024","0.00073","0.400","1653","Short perp receives","1783036800000","WATCH TOO SMALL"
"APT","Binance Futures","APTUSDT","-0.000032","8","-0.04","-0.00003","-0.00010","0.400","12500","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"SEI","Binance Futures","SEIUSDT","-0.000290","8","-0.32","-0.00029","-0.00087","0.400","1380","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"AVAX","Binance Futures","AVAXUSDT","-0.000356","8","-0.39","-0.00036","-0.00107","0.400","1124","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"DOT","OKX Swap","DOT-USDT-SWAP","-0.000498","8","-0.55","-0.00050","-0.00149","0.400","804","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"XLM","OKX Swap","XLM-USDT-SWAP","-0.000950","8","-1.04","-0.00095","-0.00285","0.400","421","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"ENS","OKX Swap","ENS-USDT-SWAP","-0.001119","8","-1.23","-0.00112","-0.00336","0.400","358","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"XLM","Binance Futures","XLMUSDT","-0.001216","8","-1.33","-0.00122","-0.00365","0.400","329","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"SEI","Bybit Linear","SEIUSDT","-0.001226","8","-1.34","-0.00123","-0.00368","0.400","327","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"WLD","Binance Futures","WLDUSDT","-0.001354","8","-1.48","-0.00135","-0.00406","0.400","296","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"WLD","Bybit Linear","WLDUSDT","-0.002212","8","-2.42","-0.00221","-0.00664","0.400","181","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"XLM","Bybit Linear","XLMUSDT","-0.002260","8","-2.47","-0.00226","-0.00678","0.400","177","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"APT","OKX Swap","APT-USDT-SWAP","-0.002264","8","-2.48","-0.00226","-0.00679","0.400","177","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"AVAX","OKX Swap","AVAX-USDT-SWAP","-0.002382","8","-2.61","-0.00238","-0.00715","0.400","168","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"IMX","Binance Futures","IMXUSDT","-0.002642","8","-2.89","-0.00264","-0.00793","0.400","152","Long perp receives","1783022400000","NOT SIMPLE CASH-CARRY"
"LTC","Bybit Linear","LTCUSDT","-0.002732","8","-2.99","-0.00273","-0.00820","0.400","147","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"IMX","OKX Swap","IMX-USDT-SWAP","-0.002847","8","-3.12","-0.00285","-0.00854","0.400","141","Long perp receives","1783022400000","NOT SIMPLE CASH-CARRY"
"ETC","OKX Swap","ETC-USDT-SWAP","-0.003355","8","-3.67","-0.00336","-0.01007","0.400","120","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"XRP","Bybit Linear","XRPUSDT","-0.003952","8","-4.33","-0.00395","-0.01186","0.400","102","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"AAVE","Binance Futures","AAVEUSDT","-0.004617","8","-5.06","-0.00462","-0.01385","0.400","87","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"DOT","Bybit Linear","DOTUSDT","-0.004749","8","-5.20","-0.00475","-0.01425","0.400","85","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"VET","Binance Futures","VETUSDT","-0.006597","8","-7.22","-0.00660","-0.01979","0.400","61","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"TIA","Bybit Linear","TIAUSDT","-0.003468","4","-7.59","-0.00347","-0.02081","0.400","116","Long perp receives","1783022400000","NOT SIMPLE CASH-CARRY"
"AAVE","OKX Swap","AAVE-USDT-SWAP","-0.007411","8","-8.11","-0.00741","-0.02223","0.400","54","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"ALGO","Bybit Linear","ALGOUSDT","-0.007754","8","-8.49","-0.00775","-0.02326","0.400","52","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"ATOM","Bybit Linear","ATOMUSDT","-0.010251","8","-11.22","-0.01025","-0.03075","0.400","40","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"ENS","Binance Futures","ENSUSDT","-0.010363","8","-11.35","-0.01036","-0.03109","0.400","39","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"ATOM","Binance Futures","ATOMUSDT","-0.011947","8","-13.08","-0.01195","-0.03584","0.400","34","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"AVAX","Bybit Linear","AVAXUSDT","-0.013874","8","-15.19","-0.01387","-0.04162","0.400","29","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"ATOM","OKX Swap","ATOM-USDT-SWAP","-0.015011","8","-16.44","-0.01501","-0.04503","0.400","27","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"TRX","OKX Swap","TRX-USDT-SWAP","-0.019039","8","-20.85","-0.01904","-0.05712","0.400","22","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"NEAR","Bybit Linear","NEARUSDT","-0.023972","8","-26.25","-0.02397","-0.07192","0.400","17","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"INJ","OKX Swap","INJ-USDT-SWAP","-0.024968","8","-27.34","-0.02497","-0.07490","0.400","17","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"TRX","Binance Futures","TRXUSDT","-0.026461","8","-28.97","-0.02646","-0.07938","0.400","16","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"INJ","Binance Futures","INJUSDT","-0.034843","8","-38.15","-0.03484","-0.10453","0.400","12","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"TRX","Bybit Linear","TRXUSDT","-0.053975","8","-59.10","-0.05398","-0.16192","0.400","8","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
"INJ","Bybit Linear","INJUSDT","-0.063901","8","-69.97","-0.06390","-0.19170","0.400","7","Long perp receives","1783036800000","NOT SIMPLE CASH-CARRY"
